Generation,Fitness,HPFitness,ManaFitness,UnweightedManaFitness,SurviveReward,RoundRewards,WinReward
0,765.0549,43.9883,0,0.5063333,280,141.0667,300
1,798.9578,9.535617,0,0.6686668,300,189.4222,300
2,807.8275,11.38309,0,0.65,300,196.4444,300
3,808.1783,11.73385,0,0.65,300,196.4444,300
4,806.8432,10.39879,0,0.6533334,300,196.4444,300
5,816.2634,29.24116,0,0.7996666,300,187.0222,300
6,817.2077,28.31885,0,0.6406666,300,188.8889,300
7,821.2467,24.26894,0,0.5100001,300,196.9778,300
8,820.3246,32.36907,0,0.7173334,290,197.9556,300
9,816.3811,17.27001,0,0.4659999,300,199.1111,300
10,823.9286,28.81752,0,0.5186667,300,195.1111,300
11,823.4404,23.6182,0,0.5866668,300,199.8222,300
12,827.8088,32.43108,0,0.5509999,300,195.3778,300
13,827.4482,28.42601,0,0.7380001,300,199.0222,300
14,833.0074,33.89632,0,0.7060001,300,199.1111,300
15,832.6682,45.646,0,0.7183332,300,187.0222,300
16,840.0571,43.61267,0,0.6233333,300,196.4444,300
17,846.8456,46.84562,0,0.678,300,200,300
18,842.2195,42.21946,0,0.678,300,200,300
19,833.8987,33.89866,0,0.6446668,300,200,300
20,855.4201,56.30901,0,0.7566667,300,199.1111,300
21,857.444,58.33287,0,0.7566667,300,199.1111,300
22,859.8317,69.92061,0,0.6489999,290,199.9111,300
23,864.5137,64.51373,0,0.6566667,300,200,300
24,863.6707,63.67074,0,0.6479999,300,200,300
25,869.4752,69.47522,0,0.6613334,300,200,300
26,866.3922,66.39216,0,0.6533334,300,200,300
27,863.3742,63.37423,0,0.6646668,300,200,300
28,861.9274,61.92745,0,0.6399999,300,200,300
29,861.5184,61.51842,0,0.6533334,300,200,300
30,867.4261,67.42616,0,0.6946667,300,200,300
31,866.4885,66.48856,0,0.6366667,300,200,300
32,865.8146,65.81455,0,0.6399999,300,200,300
33,864.9453,64.94524,0,0.6533334,300,200,300
34,866.2896,66.28963,0,0.6833333,300,200,300
35,869.9349,69.93487,0,0.6533334,300,200,300
36,873.8981,73.89804,0,0.6479999,300,200,300
37,873.2081,73.2081,0,0.6366667,300,200,300
38,870.411,70.411,0,0.6133333,300,200,300
39,872.0889,72.08891,0,0.6566667,300,200,300
40,870.3614,70.3614,0,0.6533334,300,200,300
41,869.3464,69.34636,0,0.6533334,300,200,300
42,873.8883,73.88828,0,0.6533334,300,200,300
43,873.5039,73.50394,0,0.6399999,300,200,300
44,871.7823,71.78228,0,0.6600001,300,200,300
45,870.266,70.26601,0,0.6399999,300,200,300
46,873.1682,73.1682,0,0.6399999,300,200,300
47,869.8196,69.8196,0,0.6533334,300,200,300
48,870.2859,70.28587,0,0.6613334,300,200,300
49,870.9269,70.92687,0,0.6533334,300,200,300
50,871.9368,71.93675,0,0.6533334,300,200,300
51,869.6687,69.6687,0,0.6533334,300,200,300
52,873.4224,73.42237,0,0.6533334,300,200,300
53,869.7369,69.73689,0,0.6613334,300,200,300
54,871.6575,71.65754,0,0.6533334,300,200,300
55,871.7222,71.72224,0,0.6533334,300,200,300
56,870.9595,70.95956,0,0.6533334,300,200,300
57,871.2866,71.28659,0,0.6600001,300,200,300
58,870.7797,70.77966,0,0.6533334,300,200,300
59,872.6219,72.62193,0,0.6600001,300,200,300
60,873.0804,73.08044,0,0.6533334,300,200,300
61,872.2653,72.26524,0,0.6533334,300,200,300
62,869.9487,69.94875,0,0.6613334,300,200,300
63,873.0854,73.08543,0,0.6533334,300,200,300
64,873.1732,73.17317,0,0.6533334,300,200,300
65,871.7786,71.77853,0,0.6533334,300,200,300
66,872.7928,72.79278,0,0.6533334,300,200,300
67,872.0116,72.01159,0,0.6533334,300,200,300
68,870.6719,70.6719,0,0.6533334,300,200,300
69,872.9771,72.9771,0,0.6533334,300,200,300
70,872.7242,72.7242,0,0.7133334,300,200,300
71,870.8165,70.81644,0,0.6533334,300,200,300
72,875.999,75.99895,0,0.6533334,300,200,300
73,873.1814,73.18137,0,0.6533334,300,200,300
74,871.0681,71.06803,0,0.6533334,300,200,300
75,871.9337,71.93364,0,0.7133334,300,200,300
76,872.9771,72.9771,0,0.6533334,300,200,300
77,871.7136,71.71365,0,0.6479999,300,200,300
78,873.8732,73.87315,0,0.6533334,300,200,300
79,872.5845,72.58455,0,0.7133334,300,200,300
80,872.0338,72.03378,0,0.7133334,300,200,300
81,873.8296,73.82958,0,0.7133334,300,200,300
82,873.1707,74.05959,0,0.6799999,300,199.1111,300
83,872.9534,72.95336,0,0.7200001,300,200,300
84,873.5392,73.53927,0,0.7133334,300,200,300
85,873.4185,73.41846,0,0.6533334,300,200,300
86,871.7676,71.76762,0,0.7213334,300,200,300
87,872.8849,72.88493,0,0.7133334,300,200,300
88,873.163,73.16305,0,0.6533334,300,200,300
89,874.7353,74.7353,0,0.6533334,300,200,300
90,871.5886,71.58857,0,0.7133334,300,200,300
91,873.1589,73.15892,0,0.6533334,300,200,300
92,872.0549,72.05485,0,0.6533334,300,200,300
93,872.9891,72.98907,0,0.6613334,300,200,300
94,873.5001,73.50015,0,0.6533334,300,200,300
95,872.9442,72.94422,0,0.6533334,300,200,300
96,874.2802,74.2802,0,0.6533334,300,200,300
97,874.2789,74.27892,0,0.6533334,300,200,300
98,871.1868,71.18674,0,0.6466668,300,200,300
99,870.9654,70.96539,0,0.6533334,300,200,300
100,872.5568,72.55682,0,0.6533334,300,200,300
101,871.6714,71.67146,0,0.6533334,300,200,300
102,873.1589,73.15892,0,0.6466668,300,200,300
103,875.4054,75.40539,0,0.6466668,300,200,300
104,873.3079,73.30785,0,0.6533334,300,200,300
105,872.4041,72.40405,0,0.6533334,300,200,300
106,877.263,77.26301,0,0.6533334,300,200,300
107,872.0947,72.09473,0,0.6533334,300,200,300
108,873.3196,73.31966,0,0.6533334,300,200,300
109,873.188,73.18797,0,0.6533334,300,200,300
110,873.6951,73.69514,0,0.6613334,300,200,300
111,873.6991,73.69909,0,0.6533334,300,200,300
112,872.5569,72.55686,0,0.6656668,300,200,300
113,872.9203,72.9203,0,0.6399999,300,200,300
114,873.6185,73.61854,0,0.6533334,300,200,300
